time,x,y,z,qx,qy,qz,qw,err_x,err_y,err_z,err_qx,err_qy,err_qz,err_qw
1634068481261,-2.8843,-9.12072,-1.28411,-0.00947965,-0.00108959,0.63794,-0.770027,0,0,0,0,0,0,0
1634068481361,-2.96303,-9.06335,-1.28409,-0.00875953,-0.000948835,0.637946,-0.770031,0,0,0,0,0,0,0
1634068481461,-3.04314,-9.00278,-1.28402,-0.0079618,-0.000828334,0.637951,-0.770035,0,0,0,0,0,0,0
1634068481561,-3.11998,-8.94273,-1.28391,-0.00730492,-0.000714037,0.637955,-0.770039,0,0,0,0,0,0,0
1634068481661,-3.19598,-8.88151,-1.2838,-0.00746493,-0.000537741,0.637956,-0.770037,0,0,0,0,0,0,0
1634068481761,-3.27112,-8.81916,-1.28371,-0.0080912,-0.000301297,0.637954,-0.770032,0,0,0,0,0,0,0
1634068481861,-3.3475,-8.75365,-1.28366,-0.00890408,-1.30174e-05,0.637952,-0.770025,0,0,0,0,0,0,0
1634068481961,-3.4205,-8.68877,-1.28367,-0.00968505,0.000295117,0.63795,-0.770017,0,0,0,0,0,0,0
1634068482061,-3.49224,-8.62253,-1.28373,-0.0103673,0.000615687,0.637948,-0.770009,0,0,0,0,0,0,0
1634068482161,-3.5626,-8.55486,-1.28384,-0.0109042,0.000934959,0.637947,-0.770002,0,0,0,0,0,0,0
1634068482261,-3.63351,-8.48362,-1.28399,-0.0112895,0.00124945,0.637947,-0.769997,0,0,0,0,0,0,0
1634068482361,-3.70072,-8.41297,-1.28416,-0.0114972,0.00152936,0.637948,-0.769992,0,0,0,0,0,0,0
1634068482461,-3.76627,-8.34085,-1.28433,-0.0115426,0.00177302,0.63795,-0.76999,0,0,0,0,0,0,0
1634068482561,-3.83012,-8.26728,-1.28451,-0.011403,0.00195875,0.637952,-0.769989,0,0,0,0,0,0,0
1634068482661,-3.89412,-8.19001,-1.28466,-0.0110773,0.00208213,0.637956,-0.769991,0,0,0,0,0,0,0
1634068482761,-3.95452,-8.11366,-1.28479,-0.010612,0.00213595,0.637959,-0.769994,0,0,0,0,0,0,0
1634068482861,-4.01328,-8.03603,-1.28487,-0.0100296,0.00212917,0.637964,-0.769998,0,0,0,0,0,0,0
1634068482961,-4.07218,-7.95483,-1.2849,-0.00933707,0.00206536,0.637969,-0.770002,0,0,0,0,0,0,0
